model,subject,fold,score,pre_score
cogmodel,paula,0,0.249170989,0.249170989
nonmodel,paula,0,0.17530365,0.11530365
cogmodel,paula,1,0.242694469,0.242694469
nonmodel,paula,1,-0.006230687,-0.066230687
cogmodel,paula,2,0.022317739,0.022317739
nonmodel,paula,2,0.037682261,-0.022317739
cogmodel,paula,3,0.000262562,0.000262562
nonmodel,paula,3,0.029980453,-0.030019547
cogmodel,paula,4,0.001166941,0.001166941
nonmodel,paula,4,0.031318898,-0.028681102
cogmodel,paula,0,0.224869452,0.224869452
nonmodel,paula,0,-0.079245186,-0.139245186
cogmodel,paula,1,0.277585993,0.277585993
nonmodel,paula,1,-0.058998767,-0.118998767
cogmodel,paula,2,0.068324372,0.068324372
nonmodel,paula,2,-0.044791265,-0.104791265
cogmodel,paula,3,0.008664534,0.008664534
nonmodel,paula,3,0.068664534,0.008664534
cogmodel,paula,4,0.050499354,0.050499354
nonmodel,paula,4,-0.015763618,-0.075763618
cogmodel,rex,0,0.012661305,0.012661305
nonmodel,rex,0,-0.110161521,-0.170161521
cogmodel,rex,1,0.181091308,0.181091308
nonmodel,rex,1,0.020411541,-0.039588459
cogmodel,rex,2,0.255060932,0.255060932
nonmodel,rex,2,0.207822199,0.147822199
cogmodel,rex,3,0.099860941,0.099860941
nonmodel,rex,3,-0.00482355,-0.06482355
cogmodel,rex,4,0.105461641,0.105461641
nonmodel,rex,4,0.128003463,0.068003463
cogmodel,rex,0,0.021092451,0.021092451
nonmodel,rex,0,-0.104309516,-0.164309516
cogmodel,rex,1,0.107591922,0.107591922
nonmodel,rex,1,-0.081549894,-0.141549894
cogmodel,rex,2,0.160191769,0.160191769
nonmodel,rex,2,0.033743837,-0.026256163
cogmodel,rex,3,0.140412126,0.140412126
nonmodel,rex,3,-0.009287098,-0.069287098
cogmodel,rex,4,0.060855952,0.060855952
nonmodel,rex,4,0.066940101,0.006940101